Username,First Name,Last Name,Role,User ID
inabeasley@testrunschool.org,Ina,Beasley,Teacher,231887
domingounderwood@testrunschool.org,Domingo,Underwood,Student,855893
evelynsoto@testrunschool.org,Evelyn,Soto,Student,249146
vilmakemp@testrunschool.org,Vilma,Kemp,Student,257480
linaclark@testrunschool.org,Lina,Clark,Student,58955
julianamcdonald@testrunschool.org,Juliana,McDonald,Student,72054
alyssafrost@testrunschool.org,Alyssa,Frost,Student,623215
claudiomeadows@testrunschool.org,Claudio,Meadows,Student,2931
katelynwoodward@testrunschool.org,Katelyn,Woodward,Student,431217
yolandaavery@testrunschool.org,Yolanda,Avery,Student,697420
