Username,First Name,Last Name,Role,User ID
jeanettepeck@testrunschool.org,Jeanette,Peck,Teacher,589847
domingounderwood@testrunschool.org,Domingo,Underwood,Student,855893
evelynsoto@testrunschool.org,Evelyn,Soto,Student,249146
markbrooks@testrunschool.org,Mark,Brooks,Student,841555
alyssafrost@testrunschool.org,Alyssa,Frost,Student,623215
linaclark@testrunschool.org,Lina,Clark,Student,58955
lorenegutierrez@testrunschool.org,Lorene,Gutierrez,Student,415610
antonymichael@testrunschool.org,Antony,Michael,Student,548381
jamelcline@testrunschool.org,Jamel,Cline,Student,470260
jeraldsexton@testrunschool.org,Jerald,Sexton,Student,960583
julianamcdonald@testrunschool.org,Juliana,McDonald,Student,72054
