Username,First Name,Last Name,Role,User ID
brandyhopkins@testrunschool.org,Brandy,Hopkins,Teacher,377700
emmettdavidson@testrunschool.org,Emmett,Davidson,Student,896679
gracelevy@testrunschool.org,Grace,Levy,Student,184749
domingounderwood@testrunschool.org,Domingo,Underwood,Student,855893
arthurfry@testrunschool.org,Arthur,Fry,Student,24039
patricepeterson@testrunschool.org,Patrice,Peterson,Student,387366
tonychavez@testrunschool.org,Tony,Chavez,Student,590822
reubenkaufman@testrunschool.org,Reuben,Kaufmann,Student,335363
lorenegutierrez@testrunschool.org,Lorene,Gutierrez,Student,415610
julianamcdonald@testrunschool.org,Juliana,McDonald,Student,72054
